farm_id,production_type,capacity,date,dead,notes
2395,broiler_2,2139,2025-12-13,0,
2395,broiler_2,2139,2025-12-14,0,
2395,broiler_2,2139,2025-12-15,1,
2395,broiler_2,2139,2025-12-16,2,
2395,broiler_2,2139,2025-12-17,1,
2395,broiler_2,2139,2025-12-18,0,
2395,broiler_2,2139,2025-12-19,2,
2395,broiler_2,2139,2025-12-20,0,
2395,broiler_2,2139,2025-12-21,1,
2395,broiler_2,2139,2025-12-22,3,
2395,broiler_2,2139,2025-12-23,0,
2395,broiler_2,2139,2025-12-24,2,
2395,broiler_2,2139,2025-12-25,2,
2395,broiler_2,2139,2025-12-26,3,
2395,broiler_2,2139,2025-12-27,2,
2395,broiler_2,2139,2025-12-28,2,
2395,broiler_2,2139,2025-12-29,0,
2395,broiler_2,2139,2025-12-30,0,
2395,broiler_2,2139,2025-12-31,3,
2395,broiler_2,2139,2026-01-01,1,
2395,broiler_2,2139,2026-01-02,1,
2395,broiler_2,2139,2026-01-03,4,
2395,broiler_2,2139,2026-01-04,15,
2395,broiler_2,2139,2026-01-05,45,
2395,broiler_2,2139,2026-01-06,70,
2395,broiler_2,2139,2026-01-07,250,
2395,broiler_2,2139,2026-01-08,300,
3013,broiler_2,2197,2025-12-22,1,
3013,broiler_2,2197,2025-12-23,2,
3013,broiler_2,2197,2025-12-24,2,
3013,broiler_2,2197,2025-12-25,3,
3013,broiler_2,2197,2025-12-26,1,
3013,broiler_2,2197,2025-12-27,0,
3013,broiler_2,2197,2025-12-28,1,
3013,broiler_2,2197,2025-12-29,2,
3013,broiler_2,2197,2025-12-30,0,
3013,broiler_2,2197,2025-12-31,1,
3013,broiler_2,2197,2026-01-01,0,
3013,broiler_2,2197,2026-01-02,1,
3013,broiler_2,2197,2026-01-03,0,not dead; sleeping
3013,broiler_2,2197,2026-01-04,1,
3013,broiler_2,2197,2026-01-05,1,
3013,broiler_2,2197,2026-01-06,0,
3013,broiler_2,2197,2026-01-07,1,
3013,broiler_2,2197,2026-01-08,3,??
3013,broiler_2,2197,2026-01-09,9,
3013,broiler_2,2197,2026-01-10,50,
3013,broiler_2,2197,2026-01-11,110,
3013,broiler_2,2197,2026-01-12,200,
3013,broiler_2,2197,2026-01-13,200,
3013,broiler_2,2197,2026-01-14,300,
8120,conventional,13291,2025-12-04,3,
8120,conventional,13291,2025-12-05,1,
8120,conventional,13291,2025-12-06,0,
8120,conventional,13291,2025-12-07,3,
8120,conventional,13291,2025-12-08,3,
8120,conventional,13291,2025-12-09,0,
8120,conventional,13291,2025-12-10,0,
8120,conventional,13291,2025-12-11,1,
8120,conventional,13291,2025-12-12,0,
8120,conventional,13291,2025-12-13,1,feed delivery tomorrow
8120,conventional,13291,2025-12-14,5,
8120,conventional,13291,2025-12-15,2,
8120,conventional,13291,2025-12-16,2,
8120,conventional,13291,2025-12-17,1,
8120,conventional,13291,2025-12-18,1,
8120,conventional,13291,2025-12-19,1,
8120,conventional,13291,2025-12-20,3,
8120,conventional,13291,2025-12-21,0,
8120,conventional,13291,2025-12-22,3,
8120,conventional,13291,2025-12-23,2,
8120,conventional,13291,2025-12-24,1,
8120,conventional,13291,2025-12-25,0,
8120,conventional,13291,2025-12-26,2,
8120,conventional,13291,2025-12-27,0,
8120,conventional,13291,2025-12-28,3,
8120,conventional,13291,2025-12-29,3,
8120,conventional,13291,2025-12-30,3,
8120,conventional,13291,2025-12-31,2,
8120,conventional,13291,2026-01-01,3,
8120,conventional,13291,2026-01-02,2,
8120,conventional,13291,2026-01-03,6,
8120,conventional,13291,2026-01-04,20,
8120,conventional,13291,2026-01-05,60,
8120,conventional,13291,2026-01-06,200,
8120,conventional,13291,2026-01-07,600,
8120,conventional,13291,2026-01-08,900,roseat alert
8120,conventional,13291,2026-01-09,1000,
